,price,area,bedrooms,bathrooms,mainroad,guestroom
0,13300000,7420,4,2,yes,no
1,12250000,8960,4,4,yes,no
2,12250000,9960,3,2,yes,no
3,12215000,7500,4,2,yes,no
4,11410000,7420,4,1,yes,yes
5,10850000,7500,3,3,yes,no
6,10150000,8580,4,3,yes,no
7,10150000,16200,5,3,yes,no
8,9870000,8100,4,1,yes,yes
9,9800000,5750,3,2,yes,yes
10,9800000,13200,3,1,yes,no
11,9681000,6000,4,3,yes,yes
12,9310000,6550,4,2,yes,no
13,9240000,3500,4,2,yes,no
14,9240000,7800,3,2,yes,no
15,9100000,6000,4,1,yes,no
16,9100000,6600,4,2,yes,yes
17,8960000,8500,3,2,yes,no
18,8890000,4600,3,2,yes,yes
19,8855000,6420,3,2,yes,no
20,8750000,4320,3,1,yes,no
21,8680000,7155,3,2,yes,yes
22,8645000,8050,3,1,yes,yes
23,8645000,4560,3,2,yes,yes
24,8575000,8800,3,2,yes,no
25,8540000,6540,4,2,yes,yes
26,8463000,6000,3,2,yes,yes
27,8400000,8875,3,1,yes,no
28,8400000,7950,5,2,yes,no
29,8400000,5500,4,2,yes,no
30,8400000,7475,3,2,yes,no
31,8400000,7000,3,1,yes,no
32,8295000,4880,4,2,yes,no
33,8190000,5960,3,3,yes,yes
34,8120000,6840,5,1,yes,yes
35,8080940,7000,3,2,yes,no
36,8043000,7482,3,2,yes,no
37,7980000,9000,4,2,yes,no
38,7962500,6000,3,1,yes,yes
39,7910000,6000,4,2,yes,no
40,7875000,6550,3,1,yes,no
41,7840000,6360,3,2,yes,no
42,7700000,6480,3,2,yes,no
43,7700000,6000,4,2,yes,no
44,7560000,6000,4,2,yes,no
45,7560000,6000,3,2,yes,no
46,7525000,6000,3,2,yes,no
47,7490000,6600,3,1,yes,no
48,7455000,4300,3,2,yes,no
49,7420000,7440,3,2,yes,yes
50,7420000,7440,3,2,yes,no
51,7420000,6325,3,1,yes,no
52,7350000,6000,4,2,yes,yes
53,7350000,5150,3,2,yes,no
54,7350000,6000,3,2,yes,yes
55,7350000,6000,3,1,yes,no
56,7343000,11440,4,1,yes,no
57,7245000,9000,4,2,yes,yes
58,7210000,7680,4,2,yes,yes
59,7210000,6000,3,2,yes,yes
60,7140000,6000,3,2,yes,yes
61,7070000,8880,2,1,yes,no
62,7070000,6240,4,2,yes,no
63,7035000,6360,4,2,yes,no
64,7000000,11175,3,1,yes,no
65,6930000,8880,3,2,yes,no
66,6930000,13200,2,1,yes,no
67,6895000,7700,3,2,yes,no
68,6860000,6000,3,1,yes,no
69,6790000,12090,4,2,yes,no
70,6790000,4000,3,2,yes,no
71,6755000,6000,4,2,yes,no
72,6720000,5020,3,1,yes,no
73,6685000,6600,2,2,yes,no
74,6650000,4040,3,1,yes,no
75,6650000,4260,4,2,yes,no
76,6650000,6420,3,2,yes,no
77,6650000,6500,3,2,yes,no
78,6650000,5700,3,1,yes,yes
79,6650000,6000,3,2,yes,yes
80,6629000,6000,3,1,yes,no
81,6615000,4000,3,2,yes,no
82,6615000,10500,3,2,yes,no
83,6580000,6000,3,2,yes,no
84,6510000,3760,3,1,yes,no
85,6510000,8250,3,2,yes,no
86,6510000,6670,3,1,yes,no
87,6475000,3960,3,1,yes,no
88,6475000,7410,3,1,yes,yes
89,6440000,8580,5,3,yes,no
90,6440000,5000,3,1,yes,no
91,6419000,6750,2,1,yes,yes
92,6405000,4800,3,2,yes,yes
93,6300000,7200,3,2,yes,no
94,6300000,6000,4,2,yes,no
95,6300000,4100,3,2,yes,no
96,6300000,9000,3,1,yes,no
97,6300000,6400,3,1,yes,yes
98,6293000,6600,3,2,yes,no
99,6265000,6000,4,1,yes,yes
100,6230000,6600,3,2,yes,no
101,6230000,5500,3,1,yes,no
102,6195000,5500,3,2,yes,yes
103,6195000,6350,3,2,yes,yes
104,6195000,5500,3,2,yes,yes
105,6160000,4500,3,1,yes,no
106,6160000,5450,4,2,yes,no
107,6125000,6420,3,1,yes,no
108,6107500,3240,4,1,yes,no
109,6090000,6615,4,2,yes,yes
110,6090000,6600,3,1,yes,yes
111,6090000,8372,3,1,yes,no
112,6083000,4300,6,2,yes,no
113,6083000,9620,3,1,yes,no
114,6020000,6800,2,1,yes,yes
115,6020000,8000,3,1,yes,yes
116,6020000,6900,3,2,yes,yes
117,5950000,3700,4,1,yes,yes
118,5950000,6420,3,1,yes,no
119,5950000,7020,3,1,yes,no
120,5950000,6540,3,1,yes,yes
121,5950000,7231,3,1,yes,yes
122,5950000,6254,4,2,yes,no
123,5950000,7320,4,2,yes,no
124,5950000,6525,3,2,yes,no
125,5943000,15600,3,1,yes,no
126,5880000,7160,3,1,yes,no
127,5880000,6500,3,2,yes,no
128,5873000,5500,3,1,yes,yes
129,5873000,11460,3,1,yes,no
130,5866000,4800,3,1,yes,yes
131,5810000,5828,4,1,yes,yes
132,5810000,5200,3,1,yes,no
133,5810000,4800,3,1,yes,no
134,5803000,7000,3,1,yes,no
135,5775000,6000,3,2,yes,no
136,5740000,5400,4,2,yes,no
137,5740000,4640,4,1,yes,no
138,5740000,5000,3,1,yes,no
139,5740000,6360,3,1,yes,yes
140,5740000,5800,3,2,yes,no
141,5652500,6660,4,2,yes,yes
142,5600000,10500,4,2,yes,no
143,5600000,4800,5,2,no,no
144,5600000,4700,4,1,yes,yes
145,5600000,5000,3,1,yes,no
146,5600000,10500,2,1,yes,no
147,5600000,5500,3,2,yes,no
148,5600000,6360,3,1,yes,no
149,5600000,6600,4,2,yes,no
150,5600000,5136,3,1,yes,yes
151,5565000,4400,4,1,yes,no
152,5565000,5400,5,1,yes,yes
153,5530000,3300,3,3,yes,no
154,5530000,3650,3,2,yes,no
155,5530000,6100,3,2,yes,no
156,5523000,6900,3,1,yes,yes
157,5495000,2817,4,2,no,yes
158,5495000,7980,3,1,yes,no
159,5460000,3150,3,2,yes,yes
160,5460000,6210,4,1,yes,yes
161,5460000,6100,3,1,yes,yes
162,5460000,6600,4,2,yes,yes
163,5425000,6825,3,1,yes,yes
164,5390000,6710,3,2,yes,yes
165,5383000,6450,3,2,yes,yes
166,5320000,7800,3,1,yes,no
167,5285000,4600,2,2,yes,no
168,5250000,4260,4,1,yes,no
169,5250000,6540,4,2,no,no
170,5250000,5500,3,2,yes,no
171,5250000,10269,3,1,yes,no
172,5250000,8400,3,1,yes,yes
173,5250000,5300,4,2,yes,no
174,5250000,3800,3,1,yes,yes
175,5250000,9800,4,2,yes,yes
176,5250000,8520,3,1,yes,no
177,5243000,6050,3,1,yes,no
178,5229000,7085,3,1,yes,yes
179,5215000,3180,3,2,yes,no
180,5215000,4500,4,2,no,no
181,5215000,7200,3,1,yes,yes
182,5145000,3410,3,1,no,no
183,5145000,7980,3,1,yes,no
184,5110000,3000,3,2,yes,yes
185,5110000,3000,3,1,yes,no
186,5110000,11410,2,1,yes,no
187,5110000,6100,3,1,yes,no
188,5075000,5720,2,1,yes,no
189,5040000,3540,2,1,no,yes
190,5040000,7600,4,1,yes,no
191,5040000,10700,3,1,yes,yes
192,5040000,6600,3,1,yes,yes
193,5033000,4800,2,1,yes,yes
194,5005000,8150,3,2,yes,yes
195,4970000,4410,4,3,yes,no
196,4970000,7686,3,1,yes,yes
197,4956000,2800,3,2,no,no
198,4935000,5948,3,1,yes,no
199,4907000,4200,3,1,yes,no
200,4900000,4520,3,1,yes,no
201,4900000,4095,3,1,no,yes
202,4900000,4120,2,1,yes,no
203,4900000,5400,4,1,yes,no
204,4900000,4770,3,1,yes,yes
205,4900000,6300,3,1,yes,no
206,4900000,5800,2,1,yes,yes
207,4900000,3000,3,1,yes,no
208,4900000,2970,3,1,yes,no
209,4900000,6720,3,1,yes,no
210,4900000,4646,3,1,yes,yes
211,4900000,12900,3,1,yes,no
212,4893000,3420,4,2,yes,no
213,4893000,4995,4,2,yes,no
214,4865000,4350,2,1,yes,no
215,4830000,4160,3,1,yes,no
216,4830000,6040,3,1,yes,no
217,4830000,6862,3,1,yes,no
218,4830000,4815,2,1,yes,no
219,4795000,7000,3,1,yes,no
220,4795000,8100,4,1,yes,no
221,4767000,3420,4,2,yes,no
222,4760000,9166,2,1,yes,no
223,4760000,6321,3,1,yes,no
224,4760000,10240,2,1,yes,no
225,4753000,6440,2,1,yes,no
226,4690000,5170,3,1,yes,no
227,4690000,6000,2,1,yes,no
228,4690000,3630,3,1,yes,no
229,4690000,9667,4,2,yes,yes
230,4690000,5400,2,1,yes,no
231,4690000,4320,3,1,yes,no
232,4655000,3745,3,1,yes,no
233,4620000,4160,3,1,yes,yes
234,4620000,3880,3,2,yes,no
235,4620000,5680,3,1,yes,yes
236,4620000,2870,2,1,yes,yes
237,4620000,5010,3,1,yes,no
238,4613000,4510,4,2,yes,no
239,4585000,4000,3,1,yes,no
240,4585000,3840,3,1,yes,no
241,4550000,3760,3,1,yes,no
242,4550000,3640,3,1,yes,no
243,4550000,2550,3,1,yes,no
244,4550000,5320,3,1,yes,yes
245,4550000,5360,3,1,yes,no
246,4550000,3520,3,1,yes,no
247,4550000,8400,4,1,yes,no
248,4543000,4100,2,2,yes,yes
249,4543000,4990,4,2,yes,yes
250,4515000,3510,3,1,yes,no
251,4515000,3450,3,1,yes,no
252,4515000,9860,3,1,yes,no
253,4515000,3520,2,1,yes,no
254,4480000,4510,4,1,yes,no
255,4480000,5885,2,1,yes,no
256,4480000,4000,3,1,yes,no
257,4480000,8250,3,1,yes,no
258,4480000,4040,3,1,yes,no
259,4473000,6360,2,1,yes,no
260,4473000,3162,3,1,yes,no
261,4473000,3510,3,1,yes,no
262,4445000,3750,2,1,yes,yes
263,4410000,3968,3,1,no,no
264,4410000,4900,2,1,yes,no
265,4403000,2880,3,1,yes,no
266,4403000,4880,3,1,yes,no
267,4403000,4920,3,1,yes,no
268,4382000,4950,4,1,yes,no
269,4375000,3900,3,1,yes,no
270,4340000,4500,3,2,yes,no
272,4340000,4075,3,1,yes,yes
273,4340000,3500,4,1,yes,no
274,4340000,6450,4,1,yes,no
275,4319000,4032,2,1,yes,no
276,4305000,4400,2,1,yes,no
277,4305000,10360,2,1,yes,no
278,4277000,3400,3,1,yes,no
279,4270000,6360,2,1,yes,no
280,4270000,6360,2,1,yes,no
281,4270000,4500,2,1,yes,no
282,4270000,2175,3,1,no,yes
283,4270000,4360,4,1,yes,no
284,4270000,7770,2,1,yes,no
285,4235000,6650,3,1,yes,yes
286,4235000,2787,3,1,yes,no
287,4200000,5500,3,1,yes,no
288,4200000,5040,3,1,yes,no
289,4200000,5850,2,1,yes,yes
290,4200000,2610,4,3,no,no
291,4200000,2953,3,1,yes,no
292,4200000,2747,4,2,no,no
293,4200000,4410,2,1,no,no
294,4200000,4000,4,2,no,no
295,4200000,2325,3,1,no,no
296,4200000,4600,3,2,yes,no
297,4200000,3640,3,2,yes,no
298,4200000,5800,3,1,yes,no
299,4200000,7000,3,1,yes,no
300,4200000,4079,3,1,yes,no
301,4200000,3520,3,1,yes,no
302,4200000,2145,3,1,yes,no
303,4200000,4500,3,1,yes,no
304,4193000,8250,3,1,yes,no
305,4193000,3450,3,1,yes,no
306,4165000,4840,3,1,yes,no
307,4165000,4080,3,1,yes,no
308,4165000,4046,3,1,yes,no
309,4130000,4632,4,1,yes,no
310,4130000,5985,3,1,yes,no
311,4123000,6060,2,1,yes,no
312,4098500,3600,3,1,yes,no
313,4095000,3680,3,2,yes,no
314,4095000,4040,2,1,yes,no
315,4095000,5600,2,1,yes,no
316,4060000,5900,4,2,no,no
317,4060000,4992,3,2,yes,no
318,4060000,4340,3,1,yes,no
319,4060000,3000,4,1,yes,no
320,4060000,4320,3,1,yes,no
321,4025000,3630,3,2,yes,no
322,4025000,3460,3,2,yes,no
323,4025000,5400,3,1,yes,no
324,4007500,4500,3,1,no,no
325,4007500,3460,4,1,yes,no
326,3990000,4100,4,1,no,no
327,3990000,6480,3,1,no,no
328,3990000,4500,3,2,no,no
329,3990000,3960,3,1,yes,no
330,3990000,4050,2,1,yes,yes
331,3920000,7260,3,2,yes,yes
332,3920000,5500,4,1,yes,yes
333,3920000,3000,3,1,yes,no
334,3920000,3290,2,1,yes,no
335,3920000,3816,2,1,yes,no
336,3920000,8080,3,1,yes,no
337,3920000,2145,4,2,yes,no
338,3885000,3780,2,1,yes,yes
339,3885000,3180,4,2,yes,no
340,3850000,5300,5,2,yes,no
341,3850000,3180,2,2,yes,no
342,3850000,7152,3,1,yes,no
343,3850000,4080,2,1,yes,no
344,3850000,3850,2,1,yes,no
345,3850000,2015,3,1,yes,no
346,3850000,2176,2,1,yes,yes
347,3836000,3350,3,1,yes,no
348,3815000,3150,2,2,no,no
349,3780000,4820,3,1,yes,no
350,3780000,3420,2,1,yes,no
351,3780000,3600,2,1,yes,no
352,3780000,5830,2,1,yes,no
353,3780000,2856,3,1,yes,no
354,3780000,8400,2,1,yes,no
355,3773000,8250,3,1,yes,no
356,3773000,2520,5,2,no,no
357,3773000,6930,4,1,no,no
358,3745000,3480,2,1,yes,no
359,3710000,3600,3,1,yes,no
360,3710000,4040,2,1,yes,no
361,3710000,6020,3,1,yes,no
362,3710000,4050,2,1,yes,no
363,3710000,3584,2,1,yes,no
364,3703000,3120,3,1,no,no
365,3703000,5450,2,1,yes,no
366,3675000,3630,2,1,yes,no
367,3675000,3630,2,1,yes,no
368,3675000,5640,2,1,no,no
369,3675000,3600,2,1,yes,no
370,3640000,4280,2,1,yes,no
371,3640000,3570,3,1,yes,no
372,3640000,3180,3,1,no,no
373,3640000,3000,2,1,yes,no
374,3640000,3520,2,2,yes,no
375,3640000,5960,3,1,yes,yes
376,3640000,4130,3,2,yes,no
377,3640000,2850,3,2,no,no
378,3640000,2275,3,1,yes,no
379,3633000,3520,3,1,yes,no
380,3605000,4500,2,1,yes,no
381,3605000,4000,2,1,yes,no
382,3570000,3150,3,1,yes,no
383,3570000,4500,4,2,yes,no
384,3570000,4500,2,1,no,no
385,3570000,3640,2,1,yes,no
386,3535000,3850,3,1,yes,no
387,3500000,4240,3,1,yes,no
388,3500000,3650,3,1,yes,no
389,3500000,4600,4,1,yes,no
390,3500000,2135,3,2,no,no
391,3500000,3036,3,1,yes,no
392,3500000,3990,3,1,yes,no
393,3500000,7424,3,1,no,no
394,3500000,3480,3,1,no,no
395,3500000,3600,6,1,yes,no
396,3500000,3640,2,1,yes,no
397,3500000,5900,2,1,yes,no
398,3500000,3120,3,1,yes,no
399,3500000,7350,2,1,yes,no
400,3500000,3512,2,1,yes,no
401,3500000,9500,3,1,yes,no
402,3500000,5880,2,1,yes,no
404,3493000,4900,3,1,no,no
405,3465000,3060,3,1,yes,no
406,3465000,5320,2,1,yes,no
407,3465000,2145,3,1,yes,no
408,3430000,4000,2,1,yes,no
409,3430000,3185,2,1,yes,no
410,3430000,3850,3,1,yes,no
411,3430000,2145,3,1,yes,no
412,3430000,2610,3,1,yes,no
413,3430000,1950,3,2,yes,no
414,3423000,4040,2,1,yes,no
415,3395000,4785,3,1,yes,yes
416,3395000,3450,3,1,yes,no
417,3395000,3640,2,1,yes,no
418,3360000,3500,4,1,yes,no
419,3360000,4960,4,1,no,no
420,3360000,4120,2,1,yes,no
421,3360000,4750,2,1,yes,no
422,3360000,3720,2,1,no,no
423,3360000,3750,3,1,yes,no
424,3360000,3100,3,1,no,no
425,3360000,3185,2,1,yes,no
426,3353000,2700,3,1,no,no
427,3332000,2145,3,1,yes,no
428,3325000,4040,2,1,yes,no
429,3325000,4775,4,1,yes,no
430,3290000,2500,2,1,no,no
431,3290000,3180,4,1,yes,no
432,3290000,6060,3,1,yes,yes
433,3290000,3480,4,1,no,no
434,3290000,3792,4,1,yes,no
435,3290000,4040,2,1,yes,no
436,3290000,2145,3,1,yes,no
437,3290000,5880,3,1,yes,no
438,3255000,4500,2,1,no,no
439,3255000,3930,2,1,no,no
440,3234000,3640,4,1,yes,no
441,3220000,4370,3,1,yes,no
442,3220000,2684,2,1,yes,no
443,3220000,4320,3,1,no,no
444,3220000,3120,3,1,no,no
445,3150000,3450,1,1,yes,no
446,3150000,3986,2,2,no,yes
447,3150000,3500,2,1,no,no
448,3150000,4095,2,1,yes,no
449,3150000,1650,3,1,no,no
450,3150000,3450,3,1,yes,no
451,3150000,6750,2,1,yes,no
452,3150000,9000,3,1,yes,no
453,3150000,3069,2,1,yes,no
454,3143000,4500,3,1,yes,no
455,3129000,5495,3,1,yes,no
456,3118850,2398,3,1,yes,no
457,3115000,3000,3,1,no,no
458,3115000,3850,3,1,yes,no
459,3115000,3500,2,1,yes,no
460,3087000,8100,2,1,yes,no
461,3080000,4960,2,1,yes,no
462,3080000,2160,3,1,no,no
463,3080000,3090,2,1,yes,yes
464,3080000,4500,2,1,yes,no
465,3045000,3800,2,1,yes,no
466,3010000,3090,3,1,no,no
467,3010000,3240,3,1,yes,no
468,3010000,2835,2,1,yes,no
469,3010000,4600,2,1,yes,no
470,3010000,5076,3,1,no,no
471,3010000,3750,3,1,yes,no
472,3010000,3630,4,1,yes,no
473,3003000,8050,2,1,yes,no
474,2975000,4352,4,1,no,no
475,2961000,3000,2,1,yes,no
476,2940000,5850,3,1,yes,no
477,2940000,4960,2,1,yes,no
478,2940000,3600,3,1,no,no
479,2940000,3660,4,1,no,no
480,2940000,3480,3,1,no,no
481,2940000,2700,2,1,no,no
482,2940000,3150,3,1,no,no
483,2940000,6615,3,1,yes,no
484,2870000,3040,2,1,no,no
485,2870000,3630,2,1,yes,no
486,2870000,6000,2,1,yes,no
487,2870000,5400,4,1,yes,no
488,2852500,5200,4,1,yes,no
489,2835000,3300,3,1,no,no
490,2835000,4350,3,1,no,no
491,2835000,2640,2,1,no,no
492,2800000,2650,3,1,yes,no
493,2800000,3960,3,1,yes,no
494,2730000,6800,2,1,yes,no
495,2730000,4000,3,1,yes,no
496,2695000,4000,2,1,yes,no
497,2660000,3934,2,1,yes,no
498,2660000,2000,2,1,yes,no
499,2660000,3630,3,3,no,yes
500,2660000,2800,3,1,yes,no
501,2660000,2430,3,1,no,no
502,2660000,3480,2,1,yes,no
503,2660000,4000,3,1,yes,no
504,2653000,3185,2,1,yes,no
505,2653000,4000,3,1,yes,no
506,2604000,2910,2,1,no,no
507,2590000,3600,2,1,yes,no
508,2590000,4400,2,1,yes,no
509,2590000,3600,2,2,yes,no
510,2520000,2880,3,1,no,no
511,2520000,3180,3,1,no,no
512,2520000,3000,2,1,yes,no
513,2485000,4400,3,1,yes,no
514,2485000,3000,3,1,no,no
515,2450000,3210,3,1,yes,no
516,2450000,3240,2,1,no,yes
517,2450000,3000,2,1,yes,no
518,2450000,3500,2,1,yes,yes
519,2450000,4840,2,1,yes,no
520,2450000,7700,2,1,yes,no
521,2408000,3635,2,1,no,no
522,2380000,2475,3,1,yes,no
523,2380000,2787,4,2,yes,no
524,2380000,3264,2,1,yes,no
525,2345000,3640,2,1,yes,no
526,2310000,3180,2,1,yes,no
527,2275000,1836,2,1,no,no
528,2275000,3970,1,1,no,no
529,2275000,3970,3,1,yes,no
530,2240000,1950,3,1,no,no
531,2233000,5300,3,1,no,no
532,2135000,3000,2,1,no,no
533,2100000,2400,3,1,yes,no
534,2100000,3000,4,1,yes,no
535,2100000,3360,2,1,yes,no
536,1960000,3420,5,1,no,no
537,1890000,1700,3,1,yes,no
538,1890000,3649,2,1,yes,no
539,1855000,2990,2,1,no,no
540,1820000,3000,2,1,yes,no
541,1767150,2400,3,1,no,no
542,1750000,3620,2,1,yes,no
543,1750000,2910,3,1,no,no
544,1750000,3850,3,1,yes,no
